LDNS,Hostname,ADNS_RTT,LDNS_RTT
64.233.217.2,microsoft.com,55.0,41
212.230.255.129,youtube.com,245.0,182
64.233.217.2,google.com,57.0,43
212.230.255.1,slack.com,204.0,286
71.10.216.2,google.com,46.0,30
64.233.207.2,google.com,58.0,40
64.233.207.16,youtube.com,56.0,40
71.10.216.1,google.com,81.0,44
71.10.216.2,canva.com,45.0,33
71.10.216.2,slack.com,145.0,31
71.10.216.1,slack.com,87.0,50
209.18.47.62,google.com,40.0,30
209.18.47.61,zoom.us,243.0,65
64.233.217.3,slack.com,50.0,46
71.10.216.1,youtube.com,77.0,45
71.10.216.1,canva.com,48.0,49
64.233.207.2,microsoft.com,39.0,42
209.18.47.62,facebook.com,111.0,38
71.10.216.1,canva.com,50.0,57
84.236.142.130,github.com,135.0,200
71.10.216.1,zoom.us,54.0,48
212.230.255.1,facebook.com,211.0,161
64.233.217.2,github.com,48.0,40
64.233.217.3,zoom.us,173.0,42
64.233.217.2,slack.com,55.0,41
64.233.217.2,canva.com,101.0,47
212.230.255.129,zoom.us,110.0,110
212.230.255.1,canva.com,111.0,106
212.230.255.129,canva.com,187.0,162
84.236.142.130,facebook.com,158.0,123
212.230.255.1,microsoft.com,109.0,151
64.233.207.2,slack.com,40.0,39
212.230.255.129,slack.com,135.0,110
64.233.217.3,facebook.com,60.0,41
71.10.216.2,microsoft.com,60.0,31
84.236.142.130,google.com,190.0,265
71.10.216.1,youtube.com,77.0,44
71.10.216.2,zoom.us,41.0,31
64.233.207.2,github.com,42.0,40
64.233.217.3,microsoft.com,50.0,43
64.233.207.2,slack.com,39.0,47
64.233.217.3,slack.com,43.0,42
64.233.217.2,slack.com,322.0,42
71.10.216.1,facebook.com,81.0,48
209.18.47.62,github.com,51.0,35
64.233.217.3,google.com,76.0,41
71.10.216.1,canva.com,57.0,55
209.18.47.62,zoom.us,110.0,33
212.230.255.129,slack.com,200.0,182
64.233.217.3,canva.com,53.0,43
64.233.217.3,github.com,51.0,45
64.233.207.2,youtube.com,39.0,40
71.10.216.2,zoom.us,121.0,42
84.236.142.130,google.com,283.0,163
64.233.207.16,zoom.us,40.0,41
212.230.255.129,slack.com,135.0,162
84.236.142.130,github.com,369.0,161
84.236.142.130,youtube.com,147.0,117
64.233.207.2,canva.com,44.0,41
209.18.47.62,google.com,36.0,31
71.10.216.1,github.com,56.0,48
212.230.255.1,google.com,201.0,267
209.18.47.62,google.com,43.0,32
64.233.207.16,github.com,40.0,39
84.236.142.130,microsoft.com,227.0,186
64.233.217.3,microsoft.com,161.0,43
84.236.142.130,google.com,327.0,163
209.18.47.61,youtube.com,181.0,59
212.230.255.1,youtube.com,211.0,183
64.233.217.2,youtube.com,59.0,41
64.233.207.2,zoom.us,42.0,40
64.233.207.16,slack.com,39.0,42
212.230.255.1,zoom.us,178.0,159
64.233.207.16,youtube.com,38.0,41
64.233.217.2,microsoft.com,48.0,42
64.233.207.16,zoom.us,40.0,43
71.10.216.2,canva.com,44.0,31
84.236.142.130,microsoft.com,177.0,266
64.233.217.2,facebook.com,58.0,40
209.18.47.62,zoom.us,39.0,30
209.18.47.61,facebook.com,109.0,62
64.233.207.16,microsoft.com,40.0,47
64.233.217.2,slack.com,53.0,63
64.233.207.2,zoom.us,40.0,39
84.236.142.130,facebook.com,148.0,114
64.233.217.2,slack.com,48.0,41
71.10.216.1,zoom.us,88.0,44
71.10.216.1,google.com,65.0,48
64.233.207.2,zoom.us,40.0,39
209.18.47.61,facebook.com,64.0,62
